surface,access,smoking,leisure,tourism,fixme,operator,operator:type,dog,@geometry,@id,addr:city,website,addr:village,noname,addr:postcode,highway,landuse,addr:housenumber,description,type,barrier,name:etymology:wikidata,check_date,name,name:en,grassland,brand,opening_hours:covid19,addr:district,amenity,created_by,addr:street,brand:wikidata,opening_hours,latitude,longitude
,,,park,,,,,,center,way/492742443,Gurgaon,,,,122001,,,,,,,,,Jitender Bahl Municipal Park,,,,,,,,New Colony,,,28.4656266,77.0171431
,,,park,,,,,,center,way/502480491,,,,,,,,,Public Park,,,,,,,,,,,,,,,,28.421728,77.1069901
,,,park,,,,,,center,way/525918450,,,,,,,,,,,,,,,,,,,,,,,,,28.436643,77.1147826
,,,park,,,,,,center,way/525918451,,,,,,,,,,,,,,,,,,,,,,,,,28.4375275,77.1128099
,,,park,,,,,,center,way/525918452,,,,,,,,,,,,,,,,,,,,,,,,,28.4363942,77.1135528
,,,park,,,,,,center,way/525918453,,,,,,,,,,,,,,,,,,,,,,,,,28.43711,77.1110906
,,,park,,,,,,center,way/525918454,,,,,,,,,,,,,,,,,,,,,,,,,28.4367598,77.1094491
,,,park,,,,,,center,way/525918455,,,,,,,,,,,,,,,,,,,,,,,,,28.4340839,77.1107177
,,,park,,,,,,center,way/525922260,,,,,,,,,,,,,,,,,,,,,,,,,28.434819,77.1124339
,,,park,,,,,,center,way/544127170,,,,,,,,,,,wall,,,Radha Krishna Park,,,,,,,,,,,28.4556157,77.0487534
,,,park,,,,,,center,way/545162107,,,,,,,,,,,,,,,,grass,,,,,,,,,28.4047097,77.0436203
,,,park,,,,,,center,way/546519112,,,,,,,,,,,,,,Royal Presidency Park,,,,,,,,,,,28.4420411,77.0638215
,,,park,,,,,,center,way/546519114,,,,,,,,,,,,,,"Sports Complex, Sector 45",,,,,,,,,,,28.4413046,77.0656417
,,,park,,,,,,center,way/546520217,,,,,,,,,,,,,,Park behind St. Angel's school,,,,,,,,,,,28.4411732,77.0694313
,,,park,,,,,,center,way/546520572,,,,,,,,,,,,,,,,,,,,,,,,,28.4426148,77.070875
,,,park,,,,,,center,way/546520573,,,,,,,,,,,,,,,,,,,,,,,,,28.4401035,77.0714441
